,name,followers_count,total_number_of_tweets,location,language,tweet_count
38,Torch,14.0,5527,Everywhere,en,17
39,Hardline Stance,14147.0,356823,atop a liberal's vagus nerve,en,17
40,Michael C Schmidt,5261.0,170597,United States,en,16
41,Lori Anne Thompson,2387.0,15535,"Ottawa, Ontario",en,16
42,MyNation - Sachin Gh,106.0,2664,"Hyderabad, India",en,16
43,LOrion,4799.0,335629,California,en,16
44,🌊DSOchoa 🇺🇸,3571.0,162393,"California, USA",en,16
45,Hannah,1843.0,192456,"London, England",en,16
46,Vegeta Solo,907.0,70961,"Malibu, CA",en,16
47,laura,204.0,5160,"England, United Kingdom",en,15
48,ALLthatGLITTERS&aBAG,1377.0,239547,iN dREAMtIMe oN wALkaBOuT,en,15
49,IFOD,6953.0,43699,ONLINE SINCE 2003,en,15
50,Dave Jones,3953.0,173278,WORLDWIDE!!! #BlackLivesMatter,en,15
51,Dana Arcuri,2762.0,23631,"Pittsburgh, PA",en,15
52,blueeyedgypsy,49.0,1498,new bedford,en,15
53,Jude Haste - Writer,18142.0,674465,"England, United Kingdom",en,15
54,Cindy Gallop,68873.0,184201,New York City,en,15
55,FLSA Today,2709.0,88837,"San Francisco, CA",en,15
56,Prime Creator 🇺🇸🇯🇵🇳🇿,4800.0,228742,"Burnside, KY",en,14
57,Suneet Amrute,615.0,7179,"Suneet Amrute, Mumbai",en,14
58,Erika O'Bar,73.0,482,"Los Angeles, CA",en,14
59,gabriellaQATAR,638.0,56104,"Doha, Qatar",en,14
60,Gotham Jiu Jitsu,849.0,9188,"New York, NY",en,13
61,Tyosoul🇺🇸,69.0,3954,"Fort drum , NY",en,13
62,Russian Collusion! ROFLMFAO!,2134.0,2308,ORYGUN / DC,en,13
63,Tiana Dreymor,509.0,2191,"Columbus, OH",en,13
64,"Eloquent, My Dear.",4171.0,107015,Upper Hell,en,13
65,The Pixel Project,21948.0,341324,We are global!,en,13
66,Manu,460.0,120581,India,en,13
67,(((Huda Jawad))),933.0,5116,London,en,13
68,Laurel Pruyn,462.0,9821,Planet Earth,en,13
69,sylvia_neverland,199.0,2152,"Illinois, USA",en,12
70,Ghost Of,1346.0,18291,Toronto Ontario Canada ,en,12
71,Spencer Karter,2459.0,259568,"Greenwood, SC",en,12
72,Pia Micallef,1127.0,7261,"Ixelles, Brussels",en,12
73,#RunBernieRun Colorado4Bernie,9277.0,55660,"Denver, CO",en,12
74,tushar sharma,272.0,1868,"Jammu, Jammu And Kashmir",en,12
75,Sharis 🌞,213.0,9025,Poland,en,12
76,Shades of Injera,459.0,377,World Wide,en,12
77,karam,262.0,4349,"Mumbai, India",en,12
78,"Bernie Won 3 Daily Kos StrawPolls by 44, 55 & 37%",41214.0,132750,53yrDEM JohnH Kennedy-DenverCO,en,12
79,Monica⭐💖,717.0,21960,Italia,en,12
80,braingarbage,1268.0,201181,guantanamo,en,11
81,Japan Geeks Academy,1109.0,50601,"Tokyo, Japan",en,11
82,Fanboy Gallery,807.0,14573,Sri Lanka,en,11
83,Francis Math.,19.0,700,"Paris, France",en,11
84,Natalia,46.0,1133,United States,en,11
85,三浦寛（ゴムひも）,720.0,112120,三軒茶屋,en,11
86,mayumi.y.fabrik,1814.0,24972,Tokyo,en,11
87,W. Boone Hedgepeth,9407.0,79291,"South Carolina, USA",en,11
88,The Trump Countdown,300.0,19340,"Washington, DC",en,11
89,Poet Nicole D'Settēmi 🐆,8574.0,7799,United States,en,11
90,Vicki Meier 💭,657.0,4040,Florida,en,11
91,Media Shrink,5831.0,50847,Print/TV/SocialMedia/Video,en,11
92,Pieke Roelofs [PhotoandGrime.com],1619.0,28771,"Maastricht, The Netherlands",en,11
93,ramgopalyerramshetty,451.0,121059,"Vijayawada/Hyderabad, India",en,11
94,Future_Victim_Of_498A,675.0,66789,"New Delhi, India",en,11
95,#MeTooIndia,41750.0,2844,"New Delhi, India",en,11
96,Diana Fletcher,13600.0,56935,Pennsylvania,en,10
97,Afrikan Optimist,1502.0,60927,"South Afrıka, Azania, Mzansi",en,10
98,Paula R. Curtis,1464.0,8447,"Ann Arbor, MI",en,10
99,#NAME?,88.0,3507,Faridabad,en,10
100,ReeRee,180.0,4973,Baton Rouge,en,10
101,Raj Mohan,535.0,30804,"Chennai,India",en,10
102,ElsaMarie,49796.0,35462,Bombay,en,10
103,Barbara T. Cerny,563.0,13064,Ohio,en,10
104,Ranit Biswas (রনিত বিশ্বাস),545.0,171497,India,en,10
105,Chelsey Rhodes,920.0,8525,Canada,en,10
106,J.G. MacLeod,7012.0,47032,Canada,en,10
107,ARTemis,351.0,3919,Earth ,en,10
108,Precious☆~,113.0,15163,대한민국,en,10
109,Effy,74.0,1789,Hell,en,9
110,an_excited*guy,1812.0,181106,"Honolulu, HI",en,9
111,Vicky ✨,276.0,22864,Hogwarts ,en,9
112,HealthcareCompliance,840.0,6468,"Wilmington, DE",en,9
113,Christina Taft 🌊🎸🎶,2995.0,16591,"California, USA",en,9
114,UKHREmpLaw,603.0,17982,United Kingdom,en,9
115,Mildred,3423.0,323344,"Washington, DC area",en,9
116,Arnela de Noir 🇩🇪,384.0,5278,"Winterbach, Germany",en,9
117,Brenda Rion 🌊,15728.0,99665,"Virginia, USA",en,9
118,Changeboard,10165.0,14373,Global,en,9
119,ALK,810.0,42857,"Chicago, IL",en,9
120,샹그릴라(맞팔 100%),8624.0,16683,"Seoul,S.Korea",en,9
121,Onyx Paradigm⚡️👊🏿💪🏿⚡️,1424.0,42825,Global & Universal,en,9
122,Laurence O'Bryan,137867.0,122756,"Dublin, Ireland",en,9
123,Meli ❤️💕🤣,876.0,148318,"Puerto Rico, USA",en,9
124,kate kelton,4881.0,36011,Los Angeles,en,9
125,Heavy is the head...,413.0,29011,Winner’s Circle,en,9
126,Manpreet Gill,187.0,18479,"New Delhi, India",en,9
127,Remaking Manhood,7303.0,22259,"Manhattan, NY",en,9
128,सत्यन्वेषी,269.0,6952,"Bengaluru, India",en,9
129,Julie Worley,317.0,171551,"Houston Co., TN",en,9
130,Helene Efraimsen,98.0,18701,"Aarhus, Danmark",en,8
131,PBS' To The Contrary,28730.0,19670,"Washington, D.C.",en,8
132,Hilarie Ashton,1455.0,143587,"Brooklyn, NY",en,8
133,fight4justice,245.0,4408,India,en,8
134,NamiWednesdaydepp #IBelieveHim💖,188.0,2714,"Manila,Philippines",en,8
135,Matt Newland,247.0,1805,"Grand Rapids, MI",en,8
136,Susan Harrow,4770.0,82963,"Marin, CA prsecrets.com",en,8
137,𝐝𝐚𝐝𝐝𝐲 𝐰𝐢𝐥𝐤𝐢𝐧𝐬,142.0,2547,"Montgomery, TX",en,8
138,Empowerment Ensemble,30.0,615,"New York, NY",en,8
139,SEEKER🦁🔑,1113.0,56557,TRUTH WINS ,en,8
140,Brooke👽,329.0,2271,"New York, USA",en,8
141,Sonia Mariam Thomas,9611.0,72463,"Bombay, India",en,8
142,Andreea #DeppHead of Romania,285.0,15362,Romania,en,8
143,N͓̽o͓̽o͓̽d͓̽l͓̽e͓̽,567.0,7201,THE RIGHT SIDE OF THE ROOM,en,8
144,Sabin Marketing and Promotions,4570.0,173745,"Moore Haven, FL, 33471 USA",en,8
145,Renee Victoria: NO Trophy Animals!🐘Save the🐝🐝🐝,10847.0,24339,USA,en,8
146,People's Digest,55.0,989,SpaceForceOne,en,8
147,Murtaza Micky Yusuf,2653.0,50745,"Lagos,Nigeria",en,8
148,Revoke pensions from RAPIST legislators,2282.0,91596,"Pennsylvania, USA",en,8
149,The New Republic,162595.0,101207,"New York, NY",en,8
150,Verity Sonoma County,323.0,7825,Sonoma County,en,8
151,#NOTA2019 MRA Uday,594.0,39061,"Pune, India",en,8
152,KuroKoneko Kamen😻,6329.0,40619,wonderland,en,8
153,Chris Lee,543.0,10573,Washington DC,en,8
154,MRA Vivek Vashist,565.0,49063,"New Delhi, India",en,8
155,"DaMaris B. Hill, PhD",1845.0,11125,"cyber-memory, USA",en,8
156,#CAFFREY (I HAVE NOT BEEN TO CA #USA 4OVER A YEAR),130.0,18913,BoycottFacebook=OVER 11 MONTHS,en,8
157,Maria Haselhoff,166.0,5738,Germany,en,7
158,The Word for This,201.0,326,Wherever I'm needed,en,7
159,💲The Fix Is In💲,472.0,5199,"Virginia, USA",en,7
160,Lisa Zarcone,3978.0,10596,"Massachusetts, USA",en,7
161,Linda,1421.0,34028,Berry Creek,en,7
162,Dr. Alexandria Szeman: #BelieveSurvivors,23043.0,124936,Executive Editor @RockWayPress and #SayftyChat Host,en,7
163,J A S O N S C O T T 🐱,4640.0,108049,"Lewisburg, WV",en,7
164,emily j. smith,1196.0,2072,brooklyn,en,7
165,Cristina Gamboa,1221.0,3606,"West Palm Beach, Fl",en,7
166,EndDiscriminationNow,347.0,6468,Manhattan NY,en,7
167,Eddie Scarry,8875.0,59602,"Washington, D.C",en,7
168,Jennie Withers,438.0,2064,"Boise, Idaho",en,7
169,"Adam, Diabetic Cyborg",5995.0,162792,"Longview, TX",en,7
170,Violet,4651.0,225617,"Tucson, AZ",en,7
171,Morey A.Smith,57.0,1555,"Yukon T., Canada.",en,7
172,Maya #IBelieveHim,754.0,24355,ישראל,en,7
173,Rabbi Danya Ruttenberg,55866.0,89092,Story behind my handle: https://bit.ly/2JmO2A4,en,7
174,MyNation Srinu,155.0,308,"Hyderabad, India",en,7
175,praytoo,7.0,84,"Franklin, MI",en,7
176,MRA_Crusader,692.0,15745,Incredible INDIA,en,7
177,Rahaki,131.0,1491,"London, England",en,7
178,jando,883.0,9631,"Ypsilanti, MI",en,7
179,Dr. EJ O'Dell,13023.0,100928,Occupied Long Tidal River,en,7
180,Trisha Tahmasbi,3076.0,9767,"California, USA",en,7
181,Kulvinder Kaur MD,2530.0,13887,"Ontario, Canada",en,7
182,Perry World House,3316.0,4147,University of Pennsylvania,en,7
183,Angela Chambers,19.0,120,"Indiana, USA",en,7
184,Sal Good 69,488.0,4939,"Portland, OR",en,7
185,Laura,1187.0,10456,"North Carolina, USA",en,7
186,Glen Hepker - The Philosophy of True Health,19242.0,241790,It's all about acting without acting - humbly endeavoring to do the right thing for the right selfless sake AND true appreciation,en,7
187,unknown,39.0,412,Canada,en,7
188,Tamara Davis 🇺🇸,8392.0,164080,MN lakes to TN mountains,en,7
189,suhas,668.0,37271,"Mumbai, India",en,7
190,A Jewish Feminist ✡🔥,584.0,26943,"Brooklyn, NY",en,7
191,IANS Tweets,17643.0,118817,New Delhi,en,7
192,TiaRay  Williams,1279.0,15721,"Chicago, IL",en,7
193,Material Girl79🇺🇲,151.0,3201,Neverland,en,7
194,Gaurav Tiwari,358.0,4579,India,en,7
195,The_News_DIVA🎀,83983.0,1740843,"Croton-on-Hudson, NY",en,7
196,❤️ mack 🖤,136.0,3191,"San Diego, CA",en,7
197,MELISSA,42.0,269,"Washington, DC",en,7
198,SKULL SKULL,349.0,50528,HELL,en,7
199,Monika,209.0,40635,"England, United Kingdom",en,7
200,Lynne Morley,16798.0,242780,Nottingham UK,en,7
201,Barry Simmons,96.0,4921,Houston Texas,en,7
202,CaligirlBerner,11240.0,775548,Cali,en,7
203,Unintelligible,0.0,122,"Chicago, IL or Gary IN ",en,7
204,M3talH3adHunt3r,18.0,415,"Pennsylvania, USA",en,6
205,NYT Business,781826.0,195690,"New York, NY",en,6
206,Pinkster C,3510.0,7995,United Kingdom,en,6
207,Amey🇮🇳,403.0,14195,"Mumbai, India",en,6
208,B. Anders Davidson,7099.0,259208,Sverige,en,6
209,Xonia Book,45.0,5945,"Winter Garden, FL 34787",en,6
210,Jason Lauritsen,17219.0,24723,"Omaha, Nebraska",en,6
211,HealthcareNOWradio,2826.0,43604,Atlanta GA,en,6
212,Tiffany Vogt,11689.0,154649,Los Angeles,en,6
213,I Get Suspended A lot 2 🙅🏿‍♂️,126.0,10655,"Hewlett Harbor, NY",en,6
214,Chowkidar Keerthikumar,419.0,74253,india,en,6
215,The Profilic One,380.0,13541,"Virginia, USA",en,6
216,Thread Reader App,114710.0,351316,"Vancouver, British Columbia",en,6
217,hana_solo1_archive,5.0,316,SoCal,en,6
218,Serious Bants 🇳🇬,6531.0,141758,"Lagos, Nigeria",en,6
219,Kirsten from ObtainingBliss,10147.0,5281,"Minnesota, USA",en,6
220,Amina Naili,343.0,10087,"Bordeaux, France",en,6
221,Aimee Terese,5334.0,18767,"Sydney, Australia",en,6
222,Justdoeentertainmentnews,24.0,82,"New York, NY",en,6
223,theBULLYexposed,829.0,2646,USA,en,6
224,David B. Grinberg,16188.0,43124,"Washington, DC-area",en,6
225,Ignacio Gallup-Diaz,3880.0,358604,"39.95218,-75.214962",en,6
226,Jeff Malhotra,140.0,14650,"Atlanta, GA",en,6
227,Tim,256.0,17560,"Clinton, Maryland",en,6
228,Crowe Magnon 🇺🇸,9177.0,50179,USA,en,6
229,💚 AnjanA 💙,9739.0,78043,Loading📌,en,6
230,Shabnam Sulaiman,2017.0,34195,Singara Chennai!!,en,6
231,Susan Rooke,9015.0,31467,CenTex,en,6
232,Indeed,18460.0,5615,Australia,en,6
233,MenEngage Alliance,6489.0,8118,Worldwide,en,6
234,NOTA Sena बेटा बचाओ,971.0,23556,"No Men Land,Fake Case Industry",en,6
235,MeTooSTEM,4385.0,3790,ACADEMIA,en,6
236,Erica Smith 🏳️‍🌈,382.0,3632,"Bloomington, IN",en,6
237,kassy cho,10678.0,15965,"London, England",en,6
238,Chris Will,3547.0,209309,United States,en,6
239,30 Mag Clip Full-Semi Auto CarBean 🔫,3445.0,37428,"Wild West, USA",en,6
240,E-D,592.0,65262,"California, USA",en,6
241,Deeksha Bhushan,1171.0,22609,Anywhere But Here.,en,6
242,3rdLeon,12.0,6071,"North Providence, RI",en,6
243,Kehan Smart,1431.0,20094,"Dallas, Tx",en,6
244,Raj,7086.0,633570,Mumbai,en,6
245,Migotka,47.0,362,"Ostróda, Polska",en,6
246,Alina Mawad,44.0,1739,Lebanon,en,6
247,Sarrha,815.0,44083,Treaty 1 territory,en,6
248,Michal,436.0,76489,Northern California Native ,en,6
249,Dear President Trump,3764.0,25857,United States,en,6
250,Joe,3761.0,15446,"Strathcona County, Alberta",en,6
251,🇺🇸Patriotic🐯Tiger,520.0,59154,"Ass backwards, U.S.A.",en,6
252,St. Elizabeth Stunna,1087.0,97463,"St. Elizabeth, Jamaica. Clewiston FL",en,6
253,Rahah Ghazali,337.0,96211,"Kuala Lumpur, Malaysia 🇲🇾",en,6
254,Ashraf_Fight for Justice,263.0,4577,"Hyderabad, India",en,6
255,Shadab Shaikh,20.0,10598,Mumbai,en,6
256,Hayes Brown,44134.0,124293,"New York, NY",en,6
257,David Gelles,14517.0,16568,"New York, NY",en,6
258,Rethinking Eve,3708.0,60372,"Darien, CT, USA",en,6
259,Howard Lake,17356.0,65276,"Colchester, Essex, UK",en,6
260,Karan Parmar,162.0,6918,"Mulund West, Mumbai",en,6
261,BMore,1749.0,12655,United States,en,6
262,Emi,102.0,764,Amsterdam,en,6
263,Anne Lauren,47.0,121,"Seattle, WA",en,6
264,Anthony,177.0,14569,"दिल्ली, भारत",en,6
265,Accapi Medical Division,60.0,583,Worldwide,en,6
266,DPA88Justice,95.0,473,"England, United Kingdom",en,6
267,Dr. Ann Olivarius,4266.0,10310,London,en,6
268,Shoot Me Bitch,650.0,16535,United States,en,6
269,小川由紀/U-gin유진,43.0,2277,nyc / taiwan / south korea / SINGAPORE,en,6
270,Accapi America,460.0,5868,United States,en,6
271,ianfjames,7839.0,193274,bangkok,en,6
272,Suprajha S Rajan,198.0,1643,chennai,en,6
273,Carol Channeling,1429.0,185,NYC,en,6
274,Tamra E. Raven,2870.0,150714,"The Big River, Missouri",en,6
275,Leslie.Omohundro,140.0,4568,Waterfalls and hidey holes.,en,6
276,The Book Of Enon,879.0,764,"[ANTU], Wisconsin, USA",en,6
277,TheCrystalsOfGaea,4396.0,38415,7️⃣,en,5
278,marie skou,3635.0,15241,Denmark ,en,5
279,Rachel The Democrat 🦉 Impeach NOW Jedi 🤺,1128.0,152529,Milky Way galaxy,en,5
280,Non-Profit Me Too,50.0,27,W,en,5
281,Ali Alexander,87326.0,14072,"LA, TX, DC",en,5
282,Bertrand Lambert,2966.0,3234,"Ile-de-France, France",fr,5
283,Rosario ✊🏽🗽,2013.0,1783,"New York, NY",en,5
284,Jennifer Townsend,539.0,3965,"Seattle, WA",en,5
285,CHIANTI,98.0,6102,"Arlington, VA",en,5
286,Martha Perez,6420.0,67261,"West Covina, CA",en,5
287,Alison Turkos,3793.0,27756,"New York, NY",en,5
288,Crispy Lizard 😊,11110.0,25565,"Stuck in Buffalo, NY ",en,5
289,dora wiilliams,3388.0,457405,USA,en,5
290,Raju Narisetti,47527.0,940,rajunarisetti@gmail.com In NYC,en,5
291,Shashank Dixit,296.0,19655,"Pune, India",en,5
292,R.M. Demeester,3834.0,8216,Canada,en,5
293,Lisa McGovern #EqualityAct🌈🌊,2415.0,16530,"Virginia, USA",en,5
294,Stacy Villalobos,680.0,3413,"San Francisco, CA",en,5
295,jessica neil,680.0,50355,canada,en,5
296,Brian Hamilton,1193.0,21920,"Los Angeles, CA",en,5
297,Andy Behrman,37978.0,109326,Los Angeles,en,5
298,Al Zarrar,286.0,14061,Pakistan,en,5
299,LighthousePublishing,6420.0,24327,"Raleigh, NC 27614",en,5
300,#ADOS,948.0,68253,Chicago,en,5
301,Angie Lauritsen,723.0,1191,"Gretna, NE",en,5
302,Taaj Malik,726.0,10537,Santa Monica. CA ,en,5
303,Mythosme~,1723.0,26402,United States of America,en,5
304,Kathryn Walker,112.0,3682,"Cambridge, Ontario",en,5
305,#ruthlessattimes,1245.0,47620,"Kansas City, MO",en,5
306,Ota🍞,295.0,4061,お別れはブロックやブロ解してくださって大丈夫です！,en,5
307,Shamir Tadeiya,4367.0,10775,"Umoja Innercore, Nairobi, Nair",en,5
308,#DemExitDeplorable⭐️⭐️⭐️ #IndependentAmerican,14240.0,148683,IVotedObamaAndIDidntLikeIt,en,5
309,Ramya Karthik,463.0,5795,"Chennai, India",en,5
310,Monday Blogs,16972.0,236213,Share blogs on Mondays. Easy! ,en,5
311,Joshua Braddock,64.0,79,"San Diego, CA",en,5
312,T. D. N. ⭐⭐⭐,1416.0,58441,North Carolina via Oregon,en,5
313,Urban Literature,1198.0,7572,In the abyss of genius,en,5
314,MJJJusticeProject,14139.0,194499,World-Wide #IDWP,en,5
315,GLADJ,41.0,651,India,en,5
316,kenminaj,231.0,4797,Ukraine,en,5
317,Kate Martin 🌎🌍🌏,4822.0,409196,"Butte, America (Montana)",en,5
318,Chris Tucker 🇺🇸,5009.0,207382,"Los Angeles, CA",en,5
319,Jamie Buchan,1183.0,39905,Calgary Alberta Canada,en,5
320,Dorri 🌊 ❄️ ✍️,25279.0,60021,"Chelsea, NYC",en,5
321,Tim Allen Campbell,265.0,18861,The Gospel of Timothy at,en,5
322,Lawrence Wray,23516.0,158388,"Belfast, Northern Ireland.",en,5
323,John Friend,1916.0,3693,"Grand Forks, ND",en,5
324,Kevin McCashion 🇺🇸,1817.0,69121,LIVE 4 PM to 6 PM M - F ,en,5
325,Pedro Nicolaci da Costa,126670.0,191487,"Washington, DC",en,5
326,Hussein Ali,3839.0,128843,Mumbai,en,5
327,"Kathryn Barcroft, Esquire",234.0,258,Greater New York City Area-,en,5
328,PASen Dems refuse to hold Daylin Leach accountable,705.0,9125,Greater Philadelphia Area,en,5
329,Clava Michels,258.0,112,United States,en,5
330,Pat McDermott,12992.0,148596,New Hampshire USA,en,5
331,Julia Schmeelk,9727.0,88356,"Salem, MO",en,5
332,Kostis Bitsios,190.0,23654,Greece,en,5
333,beacon,171.0,248,Kensington,en,5
334,🔥 HireAmOnly🔥,647.0,46328,"Dallas, TX",en,5
335,Equalogist,39.0,941,Iceland,en,5
336,Jamie Glazov,41743.0,77152,"Los Angeles, CA",en,5
337,Lindana Mc Jones,0.0,14,"London, England",en,5
338,Marcia Belsky,11720.0,17741,"NY, NY",en,5
339,Rakesh Mehta,357.0,24977,"Mumbai, India",en,5
340,Michael Cohen,876.0,3094,"Philadelphia, PA",en,5
341,Karl Holton,21448.0,151666,United Kingdom,en,5
342,Karthick Narayanan ⚕️,122.0,2829,"Tamil Nadu, India",en,5
343,Jennasmith,12113.0,686546,"Virginia, USA",en,5
344,BJ Wolfenden Author,13266.0,42029,Dinas Powys Wales UK,en,5
345,.,1047.0,230240,Nigeria,en,5
346,SpotboyE,515770.0,33963,Mumbai,en,5
347,Naresh,180.0,7929,new delhi,en,5
348,Kazuko Ito 伊藤和子@Humam Rights Now,13615.0,17648,東京都世田谷区,en,5
349,Tomthunkit™,60455.0,1968197,"Atlanta, GA",en,5
350,F.D. Stewart,6632.0,89284,United States,en,5
351,Christopher Oldcorn,2661.0,52538,Currently: 🇨🇦,en,5
352,Rodney Page Author,11469.0,81321,North Carolina,en,5
353,geoff richards,3060.0,14012,southampton,en,5
354,Matthew Forbes☘,887.0,24081,Thornhill-ish,en,5
355,NoVo Foundation,6301.0,4046,New York,en,5
356,Winston Winkler,9.0,34,London,en,5
357,Colleen Kennedy,1328.0,40503,"Upper Darby, PA",en,5
358,Emerging Women,6663.0,9647,"Boulder, CO",en,5
359,Amélie les Bains AB Studio,3425.0,79681,"Amélie-les-Bains-Palalda, Fran",en,5
360,Dremzz,122.0,27139,India,en,5
361,Alexandria P. Keaton,309.0,15866,"Alexandria, VA",en,5
362,Thackeray,287.0,2558,United Kingdom,en,5
363,Roxi Scott,580.0,7158,"Florida, USA",en,5
364,sharon a p,4859.0,114647,..usa,en,5
365,Felicia,1712.0,63522,Left coast.,en,5
366,Cherry Mischievous,23967.0,687922,UK,en,5
367,Opportunity Agenda,5898.0,15635,"New York, NY",en,5
368,Apoorve Nayyar,951.0,4864,"Chapel Hill, NC",en,5
369,Michael 1800.,53.0,3179,Downtown,en,5
370,Mohd Asad,9.0,316,"Hyderabad, India",en,5
371,Thaís Laguna,29.0,424,"São Paulo, Brasil",en,5
372,Domestic Workers,25438.0,17639,Cities throughout the US,en,5
373,Emily Dawson,1600.0,3713,Interracial marriage is a form of marriage outside a specific social group involving spouses who belong to different socially-defined races.,en,5
374,Vulcan Has No Moon,337.0,54692,Transporter Room,en,5
375,Hannah Reinbeck,536.0,1009,"Ontario, Canada",en,5
376,Richard Righteous,20.0,1138,CWCVille (Alternate),en,5
377,🌊🚿Shower🚧Dodging🤕Debilitated👴Dotard🤡🍩,7893.0,394321,"Burlington, VT",en,5
378,MyNation Foundation,2788.0,301249,MyNation Hope Foundation,en,5
379,UniqueCheema,42.0,240,"London, England",en,5
380,AJ,47.0,1492,"Sydney, Australia",en,4
381,🌷TheWeeklyVent💐,237.0,975,"Denver, CO",en,4
382,Stephen Burrell,1862.0,9142,"Durham, England",en,4
383,Adrienne Lawrence,11209.0,31384,"Los Angeles, CA",en,4
384,Teressa Raiford,5341.0,46661,Oregon,en,4
385,Gender Justice,3799.0,9676,"St. Paul, Minnesota",en,4
386,jess™🌹,604.0,5517,"Providence, RI",en,4
387,DebbieDavidson,1531.0,16782,ALLOVER THE FREE WORLD,en,4
388,John Jefferson,237.0,6327,"San Francisco, CA",en,4
389,Road2me,9.0,444,uk,en,4
390,Maxwell James Agency,9602.0,118841,"Denver, CO",en,4
391,Deborah Budding ☃️,3172.0,253119,"Sadly, not London",en,4
392,LALIT SHARMMA@MYNATION,1211.0,11130,"Shahdara, New Delhi",en,4
393,Hip Hop Marijuana,6838.0,79341,MarijuanaLand,en,4
394,🇺🇸Les Deplorables🇮🇱🇺🇸🍻,8718.0,144362,Nationwide,en,4
395,Metro,59348.0,18968,"Chicago, IL",en,4
396,Michelle C Hillstrom,1563.0,2252,Texas,en,4
397,CUT THE CHECK,179.0,5699,"Harrisburg, PA",en,4
398,Ben Bridges,4342.0,56695,Australia,en,4
399,WNBA-SF,3511.0,53706,San Francisco,en,4
400,T D,138.0,3561,"Massachusetts, USA",en,4
401,MelissaSchuman,6549.0,4814,Hollyweird,en,4
402,Nancy Schwartzman,5768.0,31274,"Brooklyn, Universe",en,4
403,(((Sam Zalutsky))),654.0,24301,NYC/LA,en,4
404,ARGHO BISWAS অর্ঘ্য বিশ্বাস आर्घो विस्वास,282.0,41945,India,en,4
405,Tina☀️🗝🌌🎅🏻,3701.0,26582,"Oregon, USA",en,4
406,Jus Peachy,141.0,1591,The Land Of Milk And Honey,en,4
407,Laksh,203.0,11514,"Mumbai,India",en,4
408,Mysteriously Unnamed,2378.0,294710,Earth,en,4
409,Dr. Teresa Swanson,683.0,2882,"Seattle, WA",en,4
410,James Grant,1121.0,59875,"New York, New York",en,4
411,Mike,3785.0,7639,NYC ,en,4
412,seamus adair,51.0,175,"Miami, FL",en,4
413,RareSox,109.0,10157,"Rayon, Yesterday",en,4
414,Tara Ann Moons,766.0,17958,"Austin, TX",en,4
415,Equality Group,191.0,375,"London, England",en,4
416,Smoovaay 🇺🇸,643.0,20212,Houston,en,4
417,JC,12.0,308,USA,en,4
418,therebel_diff,40.0,27654,"Toronto, Ontario",en,4
419,Alexis Morgan Lotz #IBELIEVEJDTRUTHPREVAILS,442.0,12987,"Chicago, IL",en,4
420,blackbeard,277.0,6280,"Texas, USA",en,4
