BugSQ3LAKwccaption,comment_count,display_url,id_,is_ad,likes_count,loc_id,loc_lat,loc_lon,loc_name,owner_fullname,owner_id,owner_username,shortcode,tagged_user,taken_at_timestamp
"This week on The Buzz Cut: Why Women’s Sexual Pleasure Has Been So Off‑Limits for Film - - Plus, Emma Thompson's letter to Skydance is #MeToo's latest victory.
🎨 Illustration by Tina Maria Elena via @bitchmedia's Her Neck, Her Back: The Past And Future Of Women’s Orgasms Onscreen
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#theswaddle #thebuzzcut #culture  #popculture #instagram #sexual #pleasure #sex #women #film #orgasm #future",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1f5bfed1c659a0cfa6bb73702ee19d40/5D177C1E/t51.2885-15/e35/51753255_121405902324106_219547405054322852_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990661098430173697,False,10,0,0,0,,TheSwaddle,1403139285,theswaddle,BugP7jYHpIB,,1551525317
Missing all 💙#family #leanin #chooselove #resist #metoo #loveandacceptance #happynewyear #2018 #charity #volunteer #grateful #pawsny #love #pets #dogs #cats #dogwalking #happyholidays #instadog #instacat #instapetwhat #cinderella #princecharming #christmas #grandfloridian #disneymy #villiviimas #restinpeace #myangel #siberianhusky,1,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3c12cb4042ae1af24df12bb94592af7d/5D1746D3/t51.2885-15/e35/51037682_464296940771898_5465729755263120737_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990662958637085144,False,15,0,0,0,,"♠rk cool swag😏on my day,24Nov💕",5429827126,realswagger012,BugQWn1F3HY,"therock,therealtarzann,priya.p.varrier,realswagger012,harshilrishabh,kalpna.mishra.524596,jyoti.choudhary.1044,priya_sharma768,priyasharma_301,a_priyaroy_",1551525538
"DM for discuss..
..
.
.
.
.
.
. .
.
.

#TheRisingTideSociety

#LadyBossLife

#digitalmarketing

#businesscoach

#entrepreneurlifestyle

#instagramforbusiness

#womenwithambition

#womenwholead

#femaleceo

#hustle101

#smallbusinessmarketing

#marketingsavvy

#OneOfTheBunch
#startup #entreprenuership #investors #investment #money #business #metoo #timesup #womanempowerment #instagood #powerfulwomen
#CaffeinateAndConquer #ladies #art",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/669286b079fbff810359839c4cfe7b4a/5D23983F/t51.2885-15/e35/51799812_306441570019693_7411062484442466208_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990663427852718952,False,9,0,0,0,,Ayoola Ayodeji,2976130902,elohimdescarface,BugQdc0hdNo,"cuppymusic,genevievennaji,tiwasavage,funmiiyanda,agbanidarego,k8henshaw,officiallindaikeji,taradurotoye,folake_c,melindafrenchgates,google,always_brand,ajokesilva,jtofashion,alakijaofficial,lagosstategovt,aishambuhari,laurebeaufils,usinnigeria,ngbritish",1551525594
"We are loving our guests at #Bevs Party if you fancy a Saturday with party games and cider come and join us. It's banging. 2pm @ovalhouse ⭐⭐⭐⭐ The Guardian ⭐⭐⭐⭐ The Stage
⭐⭐⭐⭐ Dance Tabs
⭐⭐⭐⭐ Reviews Hub
⭐⭐⭐⭐ London Theatre 1
⭐⭐⭐⭐ From Page To Stage
⭐⭐⭐⭐ TheatreBox ⭐⭐⭐⭐⭐ The Greenwich Visitor https://t.co/YQgxsX0bgM

#SmackThat #contemporarydance #theatre #Domesticabuse #change #stoptheviolence #metoo #womenempowerment #happyplace",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9489ce03888125053073d73a092c5d0d/5D0FF783/t51.2885-15/e35/53160628_408701539884813_5195809093459115510_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990663489527463893,False,7,0,0,0,,Rhiannon Faith,220166984,rhiannon_faith,BugQeWQn7_V,,1551525602
"Be gentle with yourself... I’m sure you don’t all our loved ones horrible things. Why do it to ourselves? 💖💖
.
.
.
.
.

#abuse #narcissist #narcissisticabuse #domesticviolence #trauma #emotionalabuse #mentalhealth #healing #love #ptsd #survivor #depression #sociopath #anxiety #gaslighting #domesticabuse #mentalhealthawareness #selflove #manipulation #recovery #abusesurvivor #sexualabuse #narcissism #childabuse #toxicpeople #cptsd #metoo #psychologicalabuse #psychopath #bhfyp",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5d53eab50e336943da662dd3a419e7ec/5D1F03A9/t51.2885-15/e35/52011640_727199517675160_6588523959087691897_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990664205803575289,False,4,0,0,0,,Healing,11536555440,surviving_narcissist_abuse,BugQoxWAdf5,,1551525687
"Singing Assessment - #ProveIt
Our acting through song assessment taking 4 songs from Jekyll & Hyde and applying them to a new situation. Loved performing this piece. Based our version around the #MeToo movement. Had a such a good company to work with.",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/50271b8d25052211805fb15f0616ca51/5D24E697/t51.2885-15/e35/52913924_393671044758040_1453806315317706756_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990664667313047574,False,3,0,0,0,,Neil Edward Collins,8622110351,neilcollins_actor,BugQvfKHYgW,,1551525742
"Blisscloud is going to have a baby sister, she wasn’t planned- it was just a moment of passion, a conversation with two other turned on women that developed into so much More. 
And now the moment has come for her to arrive 
I am so blinkin excited... It’s still mats but also More than a mat.. A collaboration 
A vision

A movement 
A celebration of womxn 
All of us

In all our beautiful forms.

Next week we launch our kickstarter 
And to celebrate we are having the MOST amazing giveaway 
A beautiful bundle including the mat in the photo and over £500 worth of gorgeous goodies- check out the link in bio to enter xx

The new company is called More. 💖

This is our new page @choosemorenow please come and support us 🙏🏼❤️💕 #choosemorenow #moremeeveryday #more.powertoyou ❤️💕❤️💕❤️❤️ 📷@pavelbota 😍",4,https://instagram.fyvr3-1.fna.fbcdn.net/vp/17df5c65f93ceee5fa3fd3cb5a35c2de/5D1CB2BA/t51.2885-15/e35/52008549_831032603903343_1654999314879615413_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990664762984741213,False,12,0,0,0,,Anna Challacombe,2255530674,blissclouds,BugQw4Ql7ld,"iammichelleholmes,charliannedesigns,choosemorenow",1551525753
"“And what I didn’t realise when I was doing it was that not only was I selling my body, but now looking back on it, I see I was selling a piece of my soul – every time I lay down with someone I didn’t know. And it’s only later on in life that you realise that you’re quite empty.” Read more: https://nordicmodelnow.org/testimonial/annas-story/ 
#StopTheDemand #EndDemand #prostitutionisviolence #NotSexWork #abolishprostitution #nordicmodelnow #VAWG #nordicmodel #listentosurvivors #NotForRent #EndProstitution #MeToo",1,https://instagram.fyvr3-1.fna.fbcdn.net/vp/46360a2e1e257ad412b0d523d2ff7137/5D24447E/t51.2885-15/e35/52476636_1322442864561071_4612942074513118322_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990665518429222528,False,3,0,0,0,,Nordic Model Now!,6065677425,nordicmodelnow,BugQ730l7aA,,1551525843
#Metoo #MuslimahSurvivors💜,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/fbf5dfe90b8ed933d35cf1023ebd50ff/5D04ADF3/t51.2885-15/e35/53109613_2349187405337585_3488792452661299282_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990665550734187652,False,3,0,0,0,,Muslimah Survivors,5620703940,muslimah_survivors,BugQ8V6HlyE,,1551525847
"“Black women can be the most disregarded and disrespected creatures on the earth,” @jadapinkettsmith said to @jordynwoods on her Facebook Watch show “The Red Table Talk” on Friday. Ms. Woods was in the Kardashian-Jenner inner circle as @kyliejenner close friend. The two discussed the reports that Ms. Woods had been involved with @realtristan13, the father of @khloekardashian daughter and was her boyfriend. She added that her husband @willsmith, or “Uncle Will,” as she called him, also found it important to have Ms. Woods tell her side of the story. “It sounds like Jada Pinkett-Smith is really trying to establish new rules on how to handle the situation,” said Venise Wagner, a professor of journalism at San Francisco State University, who had not been following the saga. “African-American women are making more public their support of black women and #MeToo is definitely a part of that,” she said. With that, her show pushed the narrative forward. But to where? Well, tune in — somewhere — next week. Read the full story, link in bio, photograph by Emma Mcintyre/Getty Images.",8,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ac6d25a20bc7148970018973e36e2e42/5D19AB4F/t51.2885-15/e35/51687383_147681132902604_1738943702176079780_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990665772301914280,False,758,0,0,0,,New York Times Fashion & Style,5857995,nytimesfashion,BugQ_kQlZCo,"jordynwoods,kyliejenner",1551525874
"✨Grey and yellow silk thread bangles are new in our collection
•sizes n colours available
•set include 12 bangles and 6 broad bangles (kada)
•soft n shinny
•No sharp edges
•durable than other bangles Bangles ✨
Msg me for your order! 
@purely_handcrafted 
#ph_creation #purely_handcrafted #handcrafted #handmadejewelry #handembroidered #handembroidered #handmadebracelet #handmadeearring #popxowedding #pompom #popxofashion #shellearrings #shaadiwear #shreyajain #trending #traditional #traditionallook #ipsy #instagood #indian_style #etsymaker #etsymakers #etsy #etsyshop #abstractart #metoo #punjab #jaipur #jaipurjewellery #made_with_love",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ffc43cf6f6a54b67b70f0d0121797d81/5D1927A3/t51.2885-15/e35/52585624_294063064623573_7393560254896684805_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990665775320717571,False,9,0,0,0,,PURELY HANDCRAFTED,8683703032,purely_handcrafted,BugQ_nEhNkD,,1551525874
#metoo,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0e9ebf0ac1cef4976295d75131892a3c/5D03A062/t51.2885-15/e35/51779500_311073353170782_8097059935203009309_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990666052816946458,False,2,0,0,0,,Yi Ho Yeung,1626800601,yeungyiho333,BugRDpglUUa,,1551525907
#realtalk #Veteran #Marine #marineveteran #usmcveteran #usmcvet #gayveteran #gayvet #gaymarine #staygrinding #stillgrinding #PTSD #blacklivesmatter #black #lds #malerapevictims #malemstvictims #militarysexualtrauma #MST #malerape #metoo #gratitude,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4cf6bb250bb03a4ceb376a59c92e6e42/5D1945C1/t51.2885-15/e35/52396657_1228068557340624_3521672467879430324_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990666232701193440,False,2,0,0,0,,EAF,3240458720,usmc_sizzle,BugRGRChQzg,,1551525929
"Meet Seo Ji-hyun, South Korea’s #MeToo⁠ ⁠pioneer. She chose to out her boss for groping her, and kick-started a revolution in #SouthKorea. She’s a fierce woman who made a fierce choice. We salute her this #IWD2019⁠.",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2947f40cef81137fab9bbaf8a8f56885/5D0424A2/t51.2885-15/e35/51939302_263507407911214_5365659870100723968_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990666336535442542,False,139,0,0,0,,Amnesty International,1001138931,amnesty,BugRHxvhfRu,,1551525941
"Rose McGowan on life after the #MeToo storm, the guide to (good) midlife sex, the secret to going blonde(ish), and the trick to finding the perfect handbag - don't miss tomorrow's @stella_telegraph.",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c5388dc6b6431599cdb44db474685e9b/5D099BF0/t51.2885-15/fr/e15/p1080x1080/51691401_2307476422849271_5470406066160417337_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990668562327721547,False,11,0,0,0,,Stella Magazine,1045771761,stella_telegraph,BugRoKrFNZL,,1551526206
"True~🏳️‍🌈
-
-
-
-
-
-
-
-
-
#feminist #feministmemes #bi #bisexual #biromantic #gay #homo #homosexual #homoromantic #pan #pansexual #panromantic #polysexual #inspirationalquotes #equality #intersectionalfeminism #feminism #marchforourlives #girllove #metoo #blacklivesmatter #transrightsarehumanrights #marriageequality #fucktrump #asexual #aromantic #demisexual",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/173edb6c1e67c940d888e8881a3f488a/5D17DC6C/t51.2885-15/e35/51226192_814304825575530_7015956459360495498_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990669200323507754,False,4,0,0,0,,Feminists,11402770637,thefeministbookworms,BugRxc2l_Yq,,1551526282
🌱we all have a story to tell🌱  #tattoo  #theartofkindness  #sickofnegativeshit #smiletoday  #kind #words #tattoos #metoo,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/fcce8adb550d234b994c05a740d92ef4/5D186980/t51.2885-15/e35/53246943_1031910633665594_3983686073508498148_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990670188879301712,False,4,0,0,0,,Beverley-Anne Malan,7614156132,beverleyanne.ba,BugR_1hHExQ,,1551526400
#womenpower #photooftheday #feminism #femenistic #girlpower #instagram #metoo #womenrights #feminist #feministic #women #love #girls #change #empowerment #womenforwomen #menforwomen #feminism #equality #genderequality #gendergap #support #radicalselflove #art #happy #love #motivation #inspiration #selflove #radicalfeminism #girlsofwisdomorg #girlofwisdom,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ddd62c9facaf880aaa894892bf90807e/5D20838E/t51.2885-15/e35/51863903_120401219075676_2878424484358676874_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990670860261784474,False,10,0,0,0,,Hope not Fear.,7882120893,girlsofwisdomorg,BugSJmyn_ua,,1551526480
Good morning! 😀 Give it your absolute BEST on today. #saturdayblessing #authorpreneur #believe #bemore #determination #dontquit #encouragement #faith #faithatwork #goals #hope #inspiration #mindshapeup #metoo #survivor #motivation #nevergiveup #newhabits  #positivethinking #restingonhispromises#wisdom,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8da261ccf0212e5efae097e19bccc9df/5D271433/t51.2885-15/e35/52504201_977518575771523_1888794707999122482_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990671001961614433,False,3,0,0,0,,Lauretha Ward,1404359568,laurethaward,BugSLqwl8xh,,1551526497
#find #people #tolerate #quirks #celebrate #glad #cries #metoo #besure #cherish #weirdos #tribe #Friends #friendship #friendshipquotes #wordwall,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2de2068dd8d7e5f74e386ef94c502224/5D1EE963/t51.2885-15/e35/51796761_1305427946271438_8137646384379785590_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990671358886980636,False,0,0,0,0,,Word Wall,8579896002,word__wall,BugSQ3LAKwc,,1551526540
"Black anodizing is there.... Monday will get  the motors and can finaly  test this baby! #MagneticaPen rca/cable version. 
#basbazzi",5,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e56c0645166575ee28dd150efe5cd9b0/5C7D0398/t51.2885-15/e35/52355824_121310822295948_506130622326339569_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1989777796848011409,False,76,0,0,0,,Bas Bazzi,20828393,basbazzi,BudHF0rFciR,,1551420134
"Red anodizing is there.... Do u like my spring version and sofness/hardness adjustment wheel?!?!?! 🧐🧐🧐🐰🐰🐰💃💃💃 #porntattoomachines
Lol 😂😂😂😂
Monday will get  the motors and can finaly  test this baby! #MagneticaPen rca/cable version.  #basbazzi",2,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1c8d18b625b382289cda34cb4b9c2d7e/5C7CFD28/t51.2885-15/e35/50230776_376648486501574_3584498335168630932_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1989917281036443005,False,40,0,0,0,,Bas Bazzi,20828393,basbazzi,Budmzlclp19,,1551436697
".
There I stood, my feet submerged in cold water, feeling the slippery contour of the pebbles, my ears listening to the soft music of the stream carving it's way amidst absolute silence, my mind going totally blank, just trying to be in the moment, forgetting there was an outside world beyond this, not wondering if the landscape I randomly sketched once, did in fact really exist....when I suddenly felt a heaviness in my hand, the camera obviously, and captured that beautiful moment to cherish forever! .
.
.
.
.
Tags to ignore - 
#traveldiaries #stream #flowing #landscape #naturelovers #instatravel #explore #mypixeldairy  #brook #blissful #photography #indiaclicks #nature #travelgram #scenery #moodygrams #_soi #instagood #beauty #wanderlust #naturephotography",9,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3114a48f9b44b468a7a71268e485ec61/5D2231E0/t51.2885-15/e35/52821529_690850961317394_3227895614338522648_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990565479011278761,False,78,0,0,0,,Dr. Nandakishore Bhat,1543967530,nkbhatp,Buf6MG2n1-p,,1551513918
#throwback #spain #sun #bird,2,https://instagram.fyvr3-1.fna.fbcdn.net/vp/7a1ff7051d0707e6bed20cf53ca1c998/5D0A9AC1/t51.2885-15/e35/52002825_122536658813314_5932219954318808680_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990600077791395062,False,7,0,0,0,,,43186974,marjavdende,BugCDlenvz2,,1551518042
"Its time to move on and follow your dreams L.A.D.I.E.S

#HAPPYWOMANMONTH #MARCH 
#fashionista #modeuse #stylegoals #styledujour #frenchblogger #lookdujour #igtenueoftheday #lookideas #outfitoftheday #cuir #monstyle #l4l #photooftheday #inspiration #stealmylook #modeaddict #strongwoman #blackgirlmagic✨ #metoo #respect #femme #femmedinfluence #standup #smile",2,https://instagram.fyvr3-1.fna.fbcdn.net/vp/611291c1cbbebd7ed35df708d618409b/5D16AC1B/t51.2885-15/e35/51866047_391612611635165_8531804813570694955_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990646016877150237,False,12,0,0,0,,beautynetmakeup,8528699230,beautynetmakeup,BugMgFlgkAd,"newlook,prettylittlething,zalando",1551523519
"Congratulations to the two women that had to accept forfeit wins in order to become the first female state placers in Colorado history after this dude refused to compete against them because he was afraid to hurt them... or religion... or whatever. 😂😏 I have a good idea how those matches would have gone. 
Congrats Angel Rios and Jaslynn Gallegos! .
.
.
.
.
.
.
.
#wrestling #metoo #getabackbone #shex2wouldawonanyway",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/7fb7ec618947c24ff836fd292544b433/5D06000E/t51.2885-15/e35/53814378_641517529599315_1916967604060916361_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990647880943555995,False,3,0,0,0,,Ryan Allen,280414567,noho_boardco,BugM7NohlWb,,1551523741
"Journey into the literary universe of the Celebrated Humanitarian Neuroscientist and International Bestselling Author Abhijit Naskar.

Walk with your brother Naskar on the path of sweet general harmony!
.
.
.
#abhijitnaskar #neuroscience #mentalhealth #worldpeace #psychology #spirituality #education #humanism #cinema #politics #humanist #harmony #healthcare #film #actresslife #adventure #filmmaking #humanitarian #actor #mindfulness #entertainment #doctor #acting #metoo #model #tvpersonality #yoga #celebrity #philosophy",1,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6124d211a266604959e4e64b9675404d/5D0921C6/t51.2885-15/e35/53056297_553677171820862_5784852030979533641_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990649457474882887,False,9,0,0,0,,Abhijit Naskar,1833994250,naskarism,BugNSJ5HU1H,,1551523929
"♋ Kennt ihr so eine Person? Dafür sind Sie die Trendsetter und Trendspotter, die die Party starten lassen und die Menge hypen!
.
.
#zodiacfee #zodiac #sprüche #sternzeichen #krebs #geburtstag #metoo",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d565c096aee830ae2228a2629b18bdce/5D23BDE6/t51.2885-15/e35/52582804_406334749910324_2814124920353464609_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990649560964662800,False,18,0,0,0,,Zodiac Fee,3103408486,zodiacfee,BugNTqRlgYQ,,1551523941
